Programme_Code,sem_1,sem_2,sem_3,sem_4,SEM 5,sem_6
2,"""Financial Accounting (Elements of Financial Accounting) – I""",Financial Accounting (Special Accounting Areas) - II,Corporate Accounting – I,Corporate Accounting – II,Corporate Accounting – III,Advanced Accounting
2,Cost and Management Accounting – I,Cost and Management Accounting - II,Business Law,Corporate and Allied Laws,Cost and Management Accounting III,Advanced Costing Techniques
2,Business Environment,Business Law I,Direct Tax – I,Indirect Tax – I,Direct Tax – II,Indirect Tax – II
2,Fundamental of Economics,Business Economics,Auditing Techniques,Auditing & Auditing Assurance,Financial Management – II,Financial Management – III
2,Professional Communication Skill – I,Environmental Studies,Financial Management – I,International Finance,Business Ethics and Corporate Social Responsibility,Security Analysis and Portfolio Management
2,quantitative Method - I,Computer Skills,Financial Market Operation,Management Theories & Application,Introduction to Financial System and Financial Services,Risk Management
2,,,Principles and Practices of Banking,Wealth Management,Strategic Management,Financial Analysis and Business Valuation
2,,,Statistical Techniques,Information Technology in Accounting,Research Methodology,
1,Financial Accounting (Elements of Financial Accounting) – I,Financial Accounting (Special Accounting Areas) - II,Corporate Accounting – I,Corporate Accounting – II,Corporate Accounting – III,Advanced Accounting
1,Cost and Management Accounting – I,Cost and Management Accounting - II,Business Law,Corporate and Allied Laws,Cost and Management Accounting III,Advanced Costing Techniques
1,Business Environment,Business Law I,Direct Tax – I,Indirect Tax – I,Direct Tax – II,Indirect Tax – II
1,Quantitative Method - I,Business Economics,Auditing Technique,Auditing & Auditing Assurance,International Taxation,Transfer Pricing
1,Professional Communication skill,Corporate Finance II,Financial Management – I,International Finance,Strategic Management,Security Analysis and Portfolio Management
1,,Computer Skill,Financial Market Operation,Management Theories & Application,Introduction to Financial System and Financial Services,Risk Management
1,,Environmental Studies,Principles and Practices of Banking,Wealth Management,Information System Audit,Financial Management II
1,,,Financial Economics,Financial Analysis and Business Valuation,Research Methodology,
1,,,Statistical Techniques,Information Technology in Accounting,,
3,Financial Accounting - I,Financial Accounting – II,Organisation Structure,Corporate Culture and Ethics,Direct Taxation,Management Accounting
3,Introduction to Management,Marketing and Service Management,Financial Accounting – III,Financial Accounting - IV,Financial Accounting – V,Financial Accounting - VI
3,Fundamentals of Law,Business Law – I,Company Law,Auditing,Cost Accounting - I,Indirect Tax
3,Environmental Science,Professional Communication Skills,Financial Management – I,Financial Management - II,Advanced auditing,Advanced income tax
